col5 where col3 = ::south ::australia
col4 where col5 = ::new ::series ::began ::in ::june ::2011
col2 where col0 = ::south ::australia
col1 where col0 = ::australian ::capital ::territory
count col3 where col5 = ::cng
col5 where col3 = ::310-329 ::( ::20 ::)
col5 where col3 = ::04001-04125 ::( ::125 ::)
col1 where col0 = ::1998
col1 where col0 = ::2011
count col1 where col2 = ::ge40lfr
count col0 where col3 = ::468-473 ::( ::6 ::)
col4 where col0 = ::2000
col1 where col0 = ::ch-47d ::chinook
col2 where col0 = ::robinson ::r-22
col5 where col1 = ::6
col5 where col1 = ::35
col5 where col4 = ::2012-present
col5 where col4 = ::2010-2012
col5 where col4 = ::2001-02
col5 where col4 = ::2004-05
col3 where col5 = ::baylor
col3 where col5 = ::connecticut
col3 where col5 = ::rice
col3 where col5 = ::stanford
col3 where col5 = ::mcmaster
col3 where col5 = ::kansas
col3 where col5 = ::tampa
col3 where col5 = ::nebraska
col0 where col4 = ::1995-96
col1 where col0 = ::patrick ::o ::' ::bryant
col5 where col0 = ::patrick ::o ::' ::bryant
col5 where col0 = ::herb ::williams
col5 where col0 = ::rudy ::gay
col5 where col0 = ::kirk ::snyder
col5 where col0 = ::kevin ::ollie
col5 where col0 = ::jawann ::oldham
col5 where col0 = ::shawn ::respert
col5 where col0 = ::roy ::rogers
col5 where col0 = ::michael ::stewart
col5 where col0 = ::roy ::de ::walt
col5 where col0 = ::jim ::goodman
col5 where col0 = ::michael ::bradley
col5 where col0 = ::jud ::buechler
col5 where col0 = ::amal ::mccaskill
col5 where col0 = ::mike ::miller
col5 where col0 = ::vince ::carter
col5 where col0 = ::kenny ::smith
col5 where col0 = ::deandre ::liggins
col5 where col0 = ::lawrence ::roberts
col5 where col0 = ::chris ::robinson
col5 where col0 = ::gerald ::wilkins
col5 where col0 = ::dahntay ::jones
col5 where col0 = ::andre ::wakefield
col5 where col0 = ::howard ::wood
col5 where col0 = ::aaron ::williams
col5 where col0 = ::dell ::curry
col5 where col0 = ::john ::crotty
